PERMIT_NUM,REVISION_NUM,PERMIT_TYPE,STRUCTURE_TYPE,STREET_NUM,STREET_NAME,STREET_TYPE,STREET_DIRECTION,POSTAL,APPLICATION_DATE,ISSUED_DATE,COMPLETED_DATE,STATUS,DESCRIPTION,GREEN_ROOF_AREA,GREEN_ROOF_VARIATION_AREA
03 141785,01,"Small Residential Projects","SFD - Detached",4,SOUTH KINGSLEA,DR, ,M8Y,2010/02/18,2010/03/25,2010/11/29,Closed,"Revision No.1: To construct a rear one storey and two-storey addition at the rear of an existing 2-storey detached SFD + second-storey addition over existing attached garage + green roof over new one-storey addition + basement finish.
To construct a rear one-storey and two-storey addition to the existing two-storey single family detached dwelling.

","18.36",""
09 176602,01,"New Building","University",97,ST GEORGE,ST, ,M5S,2010/12/06,2011/02/11,,Revision Issued,"Revision: Proposal to construct new green roof (Area 14, 667.61 sq.ft.) to existing addition.
Permit for new addition to ROTMAN MANAGEMENT SCHOOL - U of T.  New 9 Storey building plus mechanical penthouse - attached to existing Rotman Building. ***Green Roof shall be cover by serparate building permit****
See 08 195689 ZAL, 09 110461 MV, 09 117439 STE, for PAL, C of A and Site plan, as well as existing building permit 09152753 BLD to demolish rear portion of existing heritage building","375","0"
10 115481,00,"New Building","Mixed Use/Res w Non Res",510,KING,ST,E,M5A,2010/02/08,2012/06/18,,Inspection,"Construct 8 storey mixed use building with 2 levels of underground parking garage. There will be retail/commercial uses on the ground floor and floors 2 through to 8 will be residential (192 residential units).","615","0"
10 120075,00,"Building Additions/Alterations","Office",222,JARVIS,ST, ,M5B,2010/02/18,2010/06/04,2015/11/09,Closed,"Interior alterations to all floors of existing office building and replace roof top mechanical units.  See interior demo 10 107307 and COA A0087/10TEY.","1470","0"
10 131477,00,"New Building","Apartment Building",5101,DUNDAS,ST,W,   ,2010/03/12,2012/08/16,2015/01/07,Closed,"Construct new 13 storey mixed use condo tower (134 residential units) and 3 retail units at grade level.  3 levels of underground parking","300",""
10 132321,00,"New Building","Apartment Building",7-21,RICHGROVE,DR, ,M9R,2010/03/15,2011/03/01,2017/07/14,Closed,"To construct a new 21 storey, 237 unit apartment building with ancillary parking and amenity area.","0","348.47"
10 155366,00,"Building Additions/Alterations","Office",200,KING,ST,W,M5H,2010/04/20,2010/05/19,2015/06/09,Closed,"Permit for to install green roof on second floor terrace roof of existing office building - (all office space) Landscape architects drawings and structural drawings included.","270","0"
10 155781,00,"Building Additions/Alterations","Secondary School",2365,BAYVIEW,AVE, ,M2L,2010/04/20,2010/08/06,,Inspection,"Crescent School - 3 storey addition and partial basement classroom wing addition attached to the centre for creative learning.","275","0"
10 216000,00,"New Building","Mixed Use/Res w Non Res",591,DUNDAS,ST,E,M5T,2010/07/09,2012/04/12,,Inspection,"PHASE 2 Regent Park Revitalization -Building permit -  26 storey (plus 1 storey penthouse) condo with 4 storey podium - Dwelling units 283 - parking spaces - 268 parkings spaces (159 residential units) - Additional 84 Parking spaces ( Application also includes Arts and Cultural Centre ( 3 Storeys) - PLEASE NOTE NEW DRAWINGS SUBMITTED ON DEC 7 2010","2195","0"
10 222037,00,"New Building","Mixed Use/Res w Non Res",40,DOVERCOURT,RD, ,   ,2010/07/16,2012/09/11,,Inspection,"Proposal to erect a 11 sty mixed use building containg 152 units (9- live/work units on gorund floor and 143 residential units above), retail at grade and 3 levels of below grade parking.","336.0",""
