RANK,NAME,TOURNAMENTS
POINTS,,
AVERAGE,,
1,,
Flag (fr),,
GREGORY GAULTIER,,
13,"16,290","1,543"
2,,
Flag (eg),,
KARIM ABDEL GAWAD,,
11,"15,560","1,519"
3,,
Flag (eg),,
MOHAMED ELSHORBAGY,,
12,"14,120","1,370"
4,,
Flag (england),,
NICK MATTHEW,,
10,"8,275",828
5,,
Flag (eg),,
MARWAN ELSHORBAGY,,
16,"9,440",721
6,,
Flag (eg),,
ALI FARAG,,
12,"7,115",687
7,,
Flag (england),,
JAMES WILLSTROP,,
12,"6,980",681
8,,
Flag (eg),,
RAMY ASHOUR,,
8,"6,570",657
9,,
Flag (eg),,
FARES DESSOUKY,,
12,"5,885",570
10,,
Flag (de),,
SIMON RÖSNER,,
13,"6,375",545
11,,
Flag (eg),,
TAREK MOMEN,,
12,"5,605",542
12,,
Flag (england),,
DARYL SELBY,,
14,"5,865",483
13,,
Flag (nz),,
PAUL COLL,,
15,"5,560",456
14,,
Flag (au),,
RYAN CUSKELLY,,
14,"5,330",441
15,,
Flag (es),,
BORJA GOLAN,,
11,"4,360",436
16,,
Flag (hk),,
MAX LEE,,
13,"4,405",397
17,,
Flag (au),,
CAMERON PILLEY,,
15,"5,035",395
18,,
Flag (za),,
STEPHEN COPPINGER,,
13,"4,290",381
19,,
Flag (eg),,
MOHAMED ABOUELGHAR,,
12,"3,880",357
20,,
Flag (mx),,
CESAR SALAZAR,,
12,"3,805",349
21,,
Flag (co),,
MIGUEL ANGEL RODRIGUEZ,,
12,3815,345
22,,
Flag (pe),,
DIEGO ELIAS,,
16,4665,343.75
23,,
Flag (eg),,
OMAR MOSAAD,,
13,3480,310
24,,
Flag (eg),,
ZAHED MOHAMED,,
13,3560,307
25,,
Flag (fr),,
GREGOIRE MARCHE,,
12,3415,305
26,,
Flag (fr),,
MATHIEU CASTAGNET,,
12,3180,300.5
27,,
Flag (england),,
CHRIS SIMPSON,,
13,3330,296.5
28,,
Flag (my),,
NAFIIZWAN ADNAN,,
13,3150,267.5
29,,
Flag (eg),,
OMAR ABDEL MEGUID,,
12,2835,266
30,,
Flag (in),,
SAURAV GHOSAL,,
13,2990,264
31,,
Flag (scotland),,
ALAN CLYNE,,
15,3415,260
32,,
Flag (hk),,
TSZ FUNG YIP,,
12,2745,258
33,,
Flag (hk),,
LEO AU,,
12,2825,252.5
34,,
Flag (ch),,
NICOLAS MUELLER,,
13,2710,246
35,,
Flag (england),,
TOM RICHARDS,,
13,2140,195.5
36,,
Flag (england),,
DECLAN JAMES,,
13,2175,195
37,,
Flag (qa),,
ABDULLA MOHD AL TAMIMI,,
13,2070,191
38,,
Flag (england),,
ADRIAN WALLER,,
11,1925,182
39,,
Flag (nz),,
CAMPBELL GRAYSON,,
13,2070,173.5
40,,
Flag (my),,
IVAN YUEN,,
12,1825,172
41,,
Flag (fr),,
LUCAS SERME,,
13,2020,170.5
42,,
Flag (eg),,
MOHAMED REDA,,
13,1735,161.5
43,,
Flag (eg),,
KARIM ALI FATHI,,
13,1690,160
44,,
Flag (england),,
JOE LEE,,
13,1745,158
45,,
Flag (fi),,
OLLI TUOMINEN,,
13,1575,145.5
46,,
Flag (de),,
RAPHAEL KANDRA,,
10,1410,141
47,,
Flag (pk),,
FARHAN MEHBOOB,,
5,1380,138
48,,
Flag (england),,
CHARLES SHARPES,,
13,1565,137.5
49,,
Flag (mx),,
ARTURO SALAZAR,,
15,1670,136.818
50,,
Flag (wales),,
JOEL MAKIN,,
13,1525,134
51,,
Flag (eg),,
MAZEN HESHAM,,
5,1265,126.5
52,,
Flag (us),,
TODD HARRITY,,
11,1260,126
53,,
Flag (au),,
REX HEDRICK,,
13,1380,125
54,,
Flag (pk),,
FARHAN ZAMAN,,
10,1225,122.5
55,,
Flag (england),,
BEN COLEMAN,,
12,1235,121
56,,
Flag (eg),,
YOUSSEF SOLIMAN,,
12,1270,118.5
57,,
Flag (england),,
NATHAN LAKE,,
13,1285,116.5
58,,
Flag (eg),,
KARIM EL HAMMAMY,,
10,1140,114
59,,
Flag (england),,
JOSHUA MASTERS,,
11,1120,109.5
60,,
Flag (eg),,
MAZEN GAMAL,,
12,1185,106.5
61,,
Flag (mx),,
