"Var","variable","value","id","League"
"Posession","Home","73%",324016,"La Liga"
"Posession","Away","27%",324016,"La Liga"
"Shots","Home","26",324016,"La Liga"
"Shots","Away","4",324016,"La Liga"
"Goals","Home","4",324016,"La Liga"
"Goals","Away","3",324016,"La Liga"
"Posession","Home","49%",324007,"La Liga"
"Posession","Away","51%",324007,"La Liga"
"Shots","Home","8",324007,"La Liga"
"Shots","Away","11",324007,"La Liga"
"Goals","Home","0",324007,"La Liga"
"Goals","Away","0",324007,"La Liga"
"Posession","Home","68%",323997,"La Liga"
"Posession","Away","32%",323997,"La Liga"
"Shots","Home","17",323997,"La Liga"
"Shots","Away","4",323997,"La Liga"
"Goals","Home","4",323997,"La Liga"
"Goals","Away","0",323997,"La Liga"
"Posession","Home","27%",323990,"La Liga"
"Posession","Away","73%",323990,"La Liga"
"Shots","Home","5",323990,"La Liga"
"Shots","Away","16",323990,"La Liga"
"Goals","Home","0",323990,"La Liga"
"Goals","Away","0",323990,"La Liga"
"Posession","Home","64%",323979,"La Liga"
"Posession","Away","36%",323979,"La Liga"
"Shots","Home","16",323979,"La Liga"
"Shots","Away","8",323979,"La Liga"
"Goals","Home","0",323979,"La Liga"
"Goals","Away","0",323979,"La Liga"
"Posession","Home","42%",323972,"La Liga"
"Posession","Away","58%",323972,"La Liga"
"Shots","Home","7",323972,"La Liga"
"Shots","Away","9",323972,"La Liga"
"Goals","Home","1",323972,"La Liga"
"Goals","Away","1",323972,"La Liga"
"Posession","Home","83%",323961,"La Liga"
"Posession","Away","17%",323961,"La Liga"
"Shots","Home","19",323961,"La Liga"
"Shots","Away","3",323961,"La Liga"
"Goals","Home","3",323961,"La Liga"
"Goals","Away","0",323961,"La Liga"
"Posession","Home","41%",323950,"La Liga"
"Posession","Away","59%",323950,"La Liga"
"Shots","Home","20",323950,"La Liga"
"Shots","Away","14",323950,"La Liga"
"Goals","Home","0",323950,"La Liga"
"Goals","Away","1",323950,"La Liga"
"Posession","Home","66%",323943,"La Liga"
"Posession","Away","34%",323943,"La Liga"
"Shots","Home","22",323943,"La Liga"
"Shots","Away","9",323943,"La Liga"
"Goals","Home","2",323943,"La Liga"
"Goals","Away","2",323943,"La Liga"
"Posession","Home","38%",323937,"La Liga"
"Posession","Away","62%",323937,"La Liga"
"Shots","Home","6",323937,"La Liga"
"Shots","Away","22",323937,"La Liga"
"Goals","Home","1",323937,"La Liga"
"Goals","Away","0",323937,"La Liga"
"Posession","Home","46%",323917,"La Liga"
"Posession","Away","54%",323917,"La Liga"
"Shots","Home","11",323917,"La Liga"
"Shots","Away","19",323917,"La Liga"
"Goals","Home","1",323917,"La Liga"
"Goals","Away","3",323917,"La Liga"
"Posession","Home","52%",323907,"La Liga"
"Posession","Away","48%",323907,"La Liga"
"Shots","Home","12",323907,"La Liga"
"Shots","Away","13",323907,"La Liga"
"Goals","Home","2",323907,"La Liga"
"Goals","Away","1",323907,"La Liga"
"Posession","Home","37%",323903,"La Liga"
"Posession","Away","63%",323903,"La Liga"
"Shots","Home","8",323903,"La Liga"
"Shots","Away","6",323903,"La Liga"
"Goals","Home","1",323903,"La Liga"
"Goals","Away","0",323903,"La Liga"
"Posession","Home","65%",323890,"La Liga"
"Posession","Away","35%",323890,"La Liga"
"Shots","Home","17",323890,"La Liga"
"Shots","Away","6",323890,"La Liga"
"Goals","Home","1",323890,"La Liga"
"Goals","Away","1",323890,"La Liga"
"Posession","Home","52%",323883,"La Liga"
"Posession","Away","48%",323883,"La Liga"
"Shots","Home","11",323883,"La Liga"
"Shots","Away","9",323883,"La Liga"
"Goals","Home","0",323883,"La Liga"
"Goals","Away","0",323883,"La Liga"
"Posession","Home","50%",323873,"La Liga"
"Posession","Away","50%",323873,"La Liga"
"Shots","Home","14",323873,"La Liga"
"Shots","Away","8",323873,"La Liga"
"Goals","Home","1",323873,"La Liga"
"Goals","Away","0",323873,"La Liga"
"Posession","Home","61%",323863,"La Liga"
"Posession","Away","39%",323863,"La Liga"
"Shots","Home","8",323863,"La Liga"
"Shots","Away","13",323863,"La Liga"
"Goals","Home","0",323863,"La Liga"
"Goals","Away","2",323863,"La Liga"
"Posession","Home","40%",324024,"La Liga"
"Posession","Away","60%",324024,"La Liga"
"Shots","Home","18",324024,"La Liga"
"Shots","Away","15",324024,"La Liga"
"Goals","Home","1",324024,"La Liga"
"Goals","Away","2",324024,"La Liga"
"Posession","Home","33%",323849,"La Liga"
"Posession","Away","67%",323849,"La Liga"
"Shots","Home","11",323849,"La Liga"
"Shots","Away","9",323849,"La Liga"
"Goals","Home","2",323849,"La Liga"
"Goals","Away","2",323849,"La Liga"
"Posession","Home","47%",323834,"La Liga"
"Posession","Away","53%",323834,"La Liga"
"Shots","Home","14",323834,"La Liga"
"Shots","Away","15",323834,"La Liga"
"Goals","Home","1",323834,"La Liga"
"Goals","Away","1",323834,"La Liga"
"Posession","Home","44%",323824,"La Liga"
"Posession","Away","56%",323824,"La Liga"
"Shots","Home","6",323824,"La Liga"
"Shots","Away","23",323824,"La Liga"
"Goals","Home","0",323824,"La Liga"
"Goals","Away","0",323824,"La Liga"
"Posession","Home","68%",323818,"La Liga"
"Posession","Away","32%",323818,"La Liga"
"Shots","Home","23",323818,"La Liga"
"Shots","Away","8",323818,"La Liga"
"Goals","Home","4",323818,"La Liga"
"Goals","Away","0",323818,"La Liga"
"Posession","Home","57%",323813,"La Liga"
"Posession","Away","43%",323813,"La Liga"
"Shots","Home","19",323813,"La Liga"
"Shots","Away","15",323813,"La Liga"
"Goals","Home","1",323813,"La Liga"
"Goals","Away","1",323813,"La Liga"
"Posession","Home","72%",323800,"La Liga"
"Posession","Away","28%",323800,"La Liga"
"Shots","Home","22",323800,"La Liga"
"Shots","Away","9",323800,"La Liga"
"Goals","Home","4",323800,"La Liga"
"Goals","Away","2",323800,"La Liga"
"Posession","Home","26%",323788,"La Liga"
"Posession","Away","74%",323788,"La Liga"
"Shots","Home","1",323788,"La Liga"
"Shots","Away","23",323788,"La Liga"
"Goals","Home","0",323788,"La Liga"
"Goals","Away","2",323788,"La Liga"
"Posession","Home","66%",323782,"La Liga"
"Posession","Away","34%",323782,"La Liga"
"Shots","Home","15",323782,"La Liga"
"Shots","Away","8",323782,"La Liga"
"Goals","Home","3",323782,"La Liga"
"Goals","Away","1",323782,"La Liga"
"Posession","Home","39%",323777,"La Liga"
"Posession","Away","61%",323777,"La Liga"
"Shots","Home","9",323777,"La Liga"
"Shots","Away","18",323777,"La Liga"
"Goals","Home","0",323777,"La Liga"
"Goals","Away","3",323777,"La Liga"
"Posession","Home","54%",323764,"La Liga"
"Posession","Away","46%",323764,"La Liga"
"Shots","Home","18",323764,"La Liga"
"Shots","Away","11",323764,"La Liga"
"Goals","Home","1",323764,"La Liga"
"Goals","Away","1",323764,"La Liga"
"Posession","Home","51%",327700,"La Liga"
"Posession","Away","49%",327700,"La Liga"
"Shots","Home","7",327700,"La Liga"
"Shots","Away","16",327700,"La Liga"
"Goals","Home","0",327700,"La Liga"
"Goals","Away","1",327700,"La Liga"
"Posession","Home","70%",323745,"La Liga"
"Posession","Away","30%",323745,"La Liga"
"Shots","Home","30",323745,"La Liga"
"Shots","Away","1",323745,"La Liga"
"Goals","Home","3",323745,"La Liga"
"Goals","Away","0",323745,"La Liga"
"Posession","Home","50%",323737,"La Liga"
"Posession","Away","50%",323737,"La Liga"
"Shots","Home","17",323737,"La Liga"
